Solute SMILES,Solvent SMILES,ln gamma,Temp (K)
CN,CC(=O)CC(C)C,0.3906467,298.15
C=C=CCI,CCCOCC(C)O,0.19365348,298.15
COC(=O)c1ccccc1O,CCCOC(C)=O,-0.24059407,298.15
CCOCC,CCCCOC(=O)c1ccccc1O,0.04641115,298.15
O=C=O,CCCOCC(C)O,-0.41384862,298.15
CCOCCCl,ClC1C(Cl)(Cl)C1(Cl)Cl,0.15605832,298.15
CC(=O)c1cccs1,COc1ccc(F)cc1,0.18062602,298.15
CCCCOC(C)=O,C=CC,0.10940426,298.15
CCSCC,CC(=O)C(C)=O,0.34351562,298.15
CCC(Cl)Cl,CC(=O)CC(C)=O,0.26079612,298.15
C=CC=O,Clc1ccc(Cl)cc1,0.35489002,298.15
[C-]#[N+]CC=C,C[N+](=O)[O-],0.34175925,298.15
N#CBr,O=C(Cl)c1ccc(Br)cc1,0.31241236,298.15
C=C=CC,COCBr,0.68315515,298.15
CCC(C)(C)O,ClCBr,1.47467456,298.15
CCC(C)Cl,O=[N+]([O-])c1ccc(Br)cc1,0.13569027,298.15
C=C(CC)CC,O=CF,1.74990131,298.15
C=CCN=C=S,CCSC,-0.24605824,298.15
C1OCOCO1,C=COCCOCCOC=C,0.02130438,298.15
CCC(=O)O,C=C(C)C(=O)OCCC,0.13055085,298.15
C=C[N+](=O)[O-],Clc1ccc(Cl)cc1,0.92060622,298.15
Cn1ccnc1,O=C1C=CCO1,0.07724145,298.15
Cc1cccc2ccccc12,COC(C)(C)C,-0.18485315,298.15
C=C(C)C(=O)O,CCCCc1ccccc1,3.65261809,298.15
CN(C)N,OCC=CCl,-4.66688478,298.15
CCSC#N,COC(C)COC(C)COC(C)CO,-0.06013992,298.15
C1COCCO1,CCCO,0.3247851,298.15
CC(C)(O)COCCO,C=Cc1ccc(Cl)cc1,5.79682946,298.15
C#CCC,CC(C)CS(=O)CC(C)C,-0.03728842,298.15
ClC(Cl)(Cl)Cl,C=C[SiH3],0.33517791,298.15
CCC(CC)CO,CCC(=O)OC,0.62097085,298.15
COC(C)OC,C1CC1,0.36896457,298.15
