,Canonical SMILES,molecular weight (kg/kmol),van der waals volume (m3/kmol),van der waals area (m2/kmol),H donor sites,H acceptor sites,liquid molar volume (m3/kmol)
0,CC(=O)CC(C)C,100.088815,0.069214459,1094531477,0,1,
1,CCCOCC(C)O,118.0993797,0.077616354,1248766341,1,2,
2,CCCOC(C)=O,102.0680796,0.064970154,1052182991,0,2,
3,CCCCOC(=O)c1ccccc1O,194.0942943,0.111980294,1657003653,1,3,
4,ClC1C(Cl)(Cl)C1(Cl)Cl,211.8520884,0.079042363,806984404,0,0,
5,COc1ccc(F)cc1,126.0480931,0.068405102,972440425.6,0,1,
6,C=CC,42.04695019,0.033800282,596251774.7,0,0,
7,CC(=O)C(C)=O,86.03677943,0.05120627,792087656.9,0,2,
8,CC(=O)CC(C)=O,100.0524295,0.061144979,966302223.4,0,2,
9,Clc1ccc(Cl)cc1,145.9690055,0.068819416,838186927.3,0,0,
10,C[N+](=O)[O-],61.01637834,0.03261997,513939930.1,0,3,
11,O=C(Cl)c1ccc(Br)cc1,217.9134045,0.082592934,963522435.1,0,1,
12,COCBr,123.9523769,0.044533894,620200630.8,0,1,
13,ClCBr,127.9028398,0.038714234,454731431.2,0,0,
14,O=[N+]([O-])c1ccc(Br)cc1,200.9425405,0.077023789,938049506.1,0,3,
15,O=CF,48.00114287,0.022185048,336069045,0,1,
16,CCSC,76.03467126,0.048662578,816630284,0,0,
17,C=COCCOCCOC=C,158.0942943,0.096674779,1514340226,0,3,
18,C=C(C)C(=O)OCCC,128.0837296,0.081533062,1277910716,0,2,
19,O=C1C=CCO1,84.02112937,0.044890397,669338943.7,0,2,
20,COC(C)(C)C,88.088815,0.061862802,989607360,0,1,
21,CCCCc1ccccc1,134.1095504,0.090277006,1373584684,0,0,
22,OCC=CCl,92.00289246,0.04853732,693176618.5,1,1,
23,COC(C)COC(C)COC(C)CO,206.1518092,0.128644373,1997848201,1,4,
24,CCCO,60.05751488,0.042703206,730265427.1,1,1,
25,C=Cc1ccc(Cl)cc1,138.0236279,0.075780848,1001773099,0,0,
