,MAE
"('WATER', 'N-HEX-01')",20.619348403307534
"('WATER', 'BENZE-01')",12.609099807670177
"('WATER', 'N-HEP-01')",21.352725967055935
"('WATER', 'CYCLO-01')",17.763629491961243
"('WATER', 'N-OCT-01')",23.404118403548647
"('WATER', 'TOLUE-01')",14.234800893955573
"('WATER', 'METHY-02')",18.60612829888745
"('WATER', '1-HEX-01')",19.337242094592995
"('WATER', 'ETHYL-01')",20.976531021903725
"('WATER', 'N-PEN-01')",20.87059151730794
"('WATER', '1-HEP-01')",20.04811286615701
"('WATER', 'ETHAN-01')",0.7408120756016328
"('WATER', 'METHA-01')",0.5385147661051206
"('WATER', '1-OCT-01')",21.738603680193094
"('WATER', 'N-NON-01')",26.314022159924328
"('WATER', 'CYCLO-02')",15.280272571634507
"('WATER', 'METHY-01')",4.107690325028334
"('WATER', 'ACETO-01')",2.7716778685494825
"('WATER', 'ETHYL-02')",5.629200520077127
"('WATER', 'N-HEX-02')",38.026995828488985
"('WATER', 'SQUAL-01')",43.89553760286379
"('WATER', 'CHLOR-01')",12.843124683992468
"('WATER', 'N-BUT-01')",3.585791627525135
"('WATER', 'CARBO-01')",16.321680226879362
"('WATER', 'ETHYL-03')",17.07354546035784
"('WATER', '1-PRO-01')",1.5807145563262675
"('WATER', 'ACETO-02')",2.1376657771746577
"('WATER', 'P-XYL-01')",16.765270126935818
"('WATER', 'M-XYL-01')",16.81622582747351
"('WATER', 'ISOPR-01')",1.1531527543757465
"('WATER', '2-MET-01')",18.51994983445475
"('WATER', '2-MET-02')",20.844530451137704
"('WATER', '2:2:4-01')",22.67927984950021
"('WATER', '2-MET-03')",19.41538031862914
"('WATER', 'O-XYL-01')",17.193192461183802
"('WATER', 'DICHL-01')",12.07141977072939
"('WATER', '1:2-D-01')",11.494658079385433
"('WATER', '2:4-D-01')",21.377879857321112
"('WATER', '1-OCT-02')",12.478073482100518
"('WATER', '2-MET-04')",21.50438850126069
"('WATER', 'SULFO-01')",7.870398286145928
"('WATER', 'N-MET-01')",3.5165672417772225
"('WATER', 'CYCLO-03')",17.626428631298552
"('WATER', '2:3:4-01')",22.65331849571297
"('WATER', 'TETRA-01')",2.4434175276553582
"('WATER', 'NITRO-01')",3.3299363188465474
"('WATER', '1:4-D-01')",1.9688052268006158
"('WATER', 'N-PRO-01')",7.468352562598128
"('WATER', 'N-DEC-01')",28.327887987147186
