,MAE
"('WATER', 'N-HEX-01')",33.32934287310317
"('WATER', 'BENZE-01')",20.50675934382815
"('WATER', 'N-HEP-01')",34.5665749955959
"('WATER', 'CYCLO-01')",30.638547511096274
"('WATER', 'N-OCT-01')",36.48498264565
"('WATER', 'TOLUE-01')",21.745304480211438
"('WATER', 'METHY-02')",32.11306270469768
"('WATER', '1-HEX-01')",30.54222160889232
"('WATER', 'ETHYL-01')",34.084211423642074
"('WATER', 'N-PEN-01')",32.80830868714457
"('WATER', '1-HEP-01')",31.47630965793223
"('WATER', 'ETHAN-01')",0.6906136871277659
"('WATER', 'METHA-01')",0.7049332930243676
"('WATER', '1-OCT-01')",33.490539089432545
"('WATER', 'N-NON-01')",39.209414365144355
"('WATER', 'CYCLO-02')",27.094165090349982
"('WATER', 'METHY-01')",5.01766851613329
"('WATER', 'ACETO-01')",3.7025492373198263
"('WATER', 'ETHYL-02')",7.434238101262923
"('WATER', 'N-HEX-02')",51.337406900228515
"('WATER', 'SQUAL-01')",52.43533815848069
"('WATER', 'CHLOR-01')",19.86910354322944
"('WATER', 'N-BUT-01')",2.5060669315609436
"('WATER', 'CARBO-01')",26.775152154889497
"('WATER', 'ETHYL-03')",24.404507276404477
"('WATER', '1-PRO-01')",0.9305460273184062
"('WATER', 'ACETO-02')",3.6721972927959055
"('WATER', 'P-XYL-01')",23.342435401015795
"('WATER', 'M-XYL-01')",23.737798029604487
"('WATER', 'ISOPR-01')",0.69283444730001
"('WATER', '2-MET-01')",25.901034777742087
"('WATER', '2-MET-02')",32.55084653106605
"('WATER', '2:2:4-01')",35.50711940476521
"('WATER', '2-MET-03')",28.246669827551617
"('WATER', 'O-XYL-01')",23.691697153248082
"('WATER', 'DICHL-01')",17.766265894505896
"('WATER', '1:2-D-01')",16.65588337042182
"('WATER', '2:4-D-01')",33.85302327659963
"('WATER', '1-OCT-02')",13.820814580958345
"('WATER', '2-MET-04')",33.45429528075814
"('WATER', 'SULFO-01')",12.904772498789406
"('WATER', 'N-MET-01')",3.682148298068911
"('WATER', 'CYCLO-03')",29.433767086713235
"('WATER', '2:3:4-01')",33.84471411280725
"('WATER', 'TETRA-01')",3.8180118911642786
"('WATER', 'NITRO-01')",4.394435346028203
"('WATER', '1:4-D-01')",1.1204486404586869
"('WATER', 'N-PRO-01')",10.095041922282572
"('WATER', 'N-DEC-01')",40.45314933126577
"('WATER', 'N:N-D-01')",1.2793182824517209
"('WATER', 'CHLOR-02')",23.103246814432463
"('WATER', 'N-OCT-02')",52.51850782207062
"('WATER', '2:5-D-01')",34.50614538338438
"('WATER', 'METHY-03')",6.603007696098013
"('WATER', '1-CHL-01')",23.77026689972202
"('WATER', 'DI-N--01')",13.627161654353232
"('WATER', 'DIMET-02')",8.324580832504804
"('WATER', 'DIETH-02')",10.278021904254325
"('WATER', 'DIBUT-01')",14.923574819671535
"('WATER', 'N-BUT-02')",13.877026094322906
"('WATER', 'TRIPH-01')",48.51846065530651
"('WATER', 'DIETH-03')",13.67906563436537
"('WATER', '1-PEN-01')",4.862515747370465
"('WATER', 'TRIET-01')",14.707506973892874
"('WATER', 'PROPY-01')",23.636060829703748
"('WATER', 'N:N-D-02')",3.5584898933951914
"('WATER', 'ETHYL-04')",0.47844429173112807
"('WATER', 'PROPI-01')",3.301705251922054
"('WATER', 'N-OCT-03')",52.04960217115547
"('WATER', '4-FOR-01')",103.3089462005754
"('WATER', 'N-TET-01')",53.53442573512253
"('WATER', 'METHY-04')",30.90285553083709
"('WATER', 'METHY-05')",17.31349102907939
"('WATER', 'N-EIC-01')",52.60059436042556
"('WATER', 'N-MET-02')",4.597599254321035
"('WATER', 'PYRID-02')",4.1101990535861015
"('WATER', 'DIISO-01')",9.697821768768327
"('WATER', '1-TRA-01')",26.431271693321328
"('WATER', 'METHY-06')",7.652956367337565
"('WATER', 'ANILI-01')",11.84566425988429
"('WATER', '1-PEN-02')",24.778892581276615
"('WATER', 'NITRO-02')",22.75335202145158
"('WATER', 'TERT--01')",0.9418132635004479
"('WATER', 'TETRA-02')",11.06013470347553
"('WATER', 'TRIET-02')",3.6355244412922256
"('WATER', '2-BUT-01')",1.1383259576044693
"('WATER', 'N-MET-03')",2.5931209718819157
"('WATER', 'PHENO-01')",4.093436218840468
"('WATER', 'ISOBU-01')",1.7845947045889476
"('WATER', 'METHY-07')",7.230247418362619
"('WATER', 'ETHYL-05')",25.714988969781658
"('WATER', 'ETHYL-06')",21.376064199624185
"('WATER', 'METHY-08')",7.608533000834196
"('WATER', 'PROPY-02')",9.9537895990026
"('WATER', 'METHY-09')",31.66932596079437
"('WATER', 'N-BUT-03')",32.86572014258179
"('WATER', '1-HEX-02')",31.96270882582051
"('WATER', '2-PYR-01')",5.772114001521279
"('WATER', 'N-TRI-01')",58.013272464265945
"('WATER', 'QUINO-01')",13.620859743173844
"('WATER', 'DIETH-04')",10.258084750664684
"('WATER', 'TRI-N-01')",20.079604345011802
"('WATER', 'CYCLO-04')",25.9585218490081
"('WATER', '3-MET-01')",34.26444296139534
"('WATER', 'TRICH-01')",31.298084027427283
"('WATER', 'CYCLO-05')",6.499396692011823
"('WATER', 'N-HEX-03')",16.788643812041865
"('WATER', 'TRI-O-01')",36.1404517996965
"('WATER', '1-OCT-03')",29.063701796436547
"('WATER', 'N-HEX-04')",55.26948186420856
"('WATER', 'METHY-10')",17.01079274722428
"('WATER', 'BROMO-01')",24.24272228954468
"('WATER', 'FURFU-01')",10.327224631477531
"('WATER', 'CARBO-02')",35.492094367014786
"('WATER', 'TRANS-01')",
"('WATER', 'DIETH-05')",10.610687073174962
"('WATER', '2-MET-05')",3.5131821592956127
"('WATER', 'N-DOD-01')",46.62714710308889
"('WATER', 'N-PEN-02')",16.723625113072966
"('WATER', 'TERT--02')",25.62430286222823
"('WATER', 'PIMEL-01')",7.569064856585426
"('WATER', 'STYRE-01')",25.94694755215107
"('WATER', '2:2-D-01')",34.33960247171722
"('WATER', 'BUTYR-01')",7.603946411005392
"('WATER', 'CYCLO-06')",
"('WATER', '1:6-H-01')",9.37951776492439
"('WATER', 'GLYCE-01')",23.26815465404024
"('WATER', 'BENZO-01')",71.26965303778846
"('WATER', 'NITRO-03')",7.736243598427058
"('WATER', 'LACTI-01')",24.94666562522602
"('WATER', 'PHENA-01')",30.047646489611655
"('WATER', '2:3-D-01')",34.27013621997553
"('WATER', '2-MET-06')",29.269540798512004
"('WATER', 'DIBUT-02')",11.999280809521316
"('WATER', 'DODEC-01')",19.412796065275653
"('WATER', 'GAMMA-01')",11.218814971826378
"('WATER', '1:2:2-01')",106.16106589750534
"('WATER', '1-MET-01')",28.88724132075469
"('WATER', 'FLUOR-01')",20.55423128692215
"('WATER', 'CYCLO-07')",29.440130378635132
"('WATER', '1:2-D-02')",3.729059918846762
"('WATER', 'CIS-1-01')",
"('WATER', 'N-DOT-01')",
"('WATER', 'FURAN')",229.2605670779328
"('WATER', 'BUTYL-01')",20.670727371566077
"('WATER', 'ACETA-02')",14.310123321024511
"('WATER', '1-CHL-02')",25.671104897317512
"('WATER', 'N-PRO-02')",27.185740923908426
"('WATER', '3-MET-03')",
"('WATER', 'METHY-11')",9.396318829228372
"('WATER', '1-NIT-01')",11.761621211774536
"('WATER', 'ETHYL-07')",12.49676470683607
"('WATER', 'ISOBU-02')",30.036311242043624
"('WATER', '2:3-D-02')",
"('WATER', 'N-DOC-01')",49.61192163646822
"('WATER', '1-HEX-03')",7.585272149349353
"('WATER', '1:3-B-01')",29.731361670612323
"('WATER', 'BIS-C-01')",11.873495925964969
"('WATER', 'CAPRO-01')",10.40858931159238
"('WATER', 'CYCLO-08')",6.175507736633842
"('WATER', 'CYCLO-09')",34.214045356530235
"('WATER', '1-BUT-01')",29.401051499499445
"('WATER', 'GLUTA-01')",12.829815635618909
"('WATER', 'DIISO-02')",34.451232128206534
"('WATER', 'PROPA-01')",30.718460492288155
"('WATER', '1-TET-01')",33.31476011023259
"('WATER', '1-EIC-01')",39.739800203645956
"('WATER', 'BENZY-01')",20.73203256329866
"('WATER', 'TRANS-02')",29.69101811624609
"('WATER', 'N-BUT-04')",7.551223018680073
"('WATER', 'ISOPR-02')",26.766361366108434
"('WATER', 'ISOQU-01')",
"('WATER', 'GLYCE-02')",20.885459082907946
"('WATER', 'ISOBU-03')",32.82606953394284
"('WATER', '1-DEC-01')",36.38406651927169
"('WATER', 'DIOCT-01')",15.770501778667892
"('WATER', 'ADIPO-01')",14.968413108228644
"('WATER', '2-MET-07')",1.8095324089975149
"('WATER', '1-OCT-04')",47.03486892628829
"('WATER', '2:2-D-02')",
"('WATER', 'N-BUT-05')",4.2784421616668356
"('WATER', 'M-CRE-01')",13.079858464334876
"('WATER', '1-HEP-02')",
"('WATER', 'TERT--03')",8.795908400885457
"('WATER', 'BENZY-02')",6.790584483517152
"('WATER', '3-MET-04')",32.46643256097092
"('WATER', '2-BUT-02')",
"('WATER', '2:2:4-02')",
"('WATER', 'CIS-D-01')",38.430755596461914
"('WATER', '1-ETH-01')",
"('WATER', 'D-LIM-01')",32.05961255083389
"('WATER', '2-NIT-01')",7.706831210455843
"('N-HEX-01', 'BENZE-01')",0.18342663562344425
"('N-HEX-01', 'N-HEP-01')",0.12045327436143764
"('N-HEX-01', 'CYCLO-01')",0.26482681512299416
"('N-HEX-01', 'N-OCT-01')",0.37635864946310454
"('N-HEX-01', 'TOLUE-01')",0.22053100447010365
"('N-HEX-01', 'METHY-02')",0.30409192205741453
"('N-HEX-01', '1-HEX-01')",0.06837412959360145
"('N-HEX-01', 'ETHYL-01')",0.7447481866987464
"('N-HEX-01', 'N-PEN-01')",0.13831272677414905
"('N-HEX-01', '1-HEP-01')",0.09370368577920991
"('N-HEX-01', 'ETHAN-01')",2.260109932175873
"('N-HEX-01', 'METHA-01')",3.901694365449789
"('N-HEX-01', '1-OCT-01')",0.24688837080212567
"('N-HEX-01', 'N-NON-01')",0.7395902867562902
"('N-HEX-01', 'CYCLO-02')",0.13348580657858083
"('N-HEX-01', 'METHY-01')",0.7552573671961962
"('N-HEX-01', 'ACETO-01')",0.5835264131855309
"('N-HEX-01', 'ETHYL-02')",0.2331429946429541
"('N-HEX-01', 'N-HEX-02')",3.1652381325309538
"('N-HEX-01', 'SQUAL-01')",8.355057399404405
"('N-HEX-01', 'CHLOR-01')",0.14118182369303486
"('N-HEX-01', 'N-BUT-01')",2.122463771002777
"('N-HEX-01', 'CARBO-01')",0.04926890224070153
"('N-HEX-01', 'ETHYL-03')",1.4534350260812752
"('N-HEX-01', '1-PRO-01')",1.5008627779534913
"('N-HEX-01', 'ACETO-02')",2.528440412992142
"('N-HEX-01', 'P-XYL-01')",0.3901006668559783
"('N-HEX-01', 'M-XYL-01')",0.7204522227143536
"('N-HEX-01', 'ISOPR-01')",1.7093901565474536
"('N-HEX-01', '2-MET-01')",0.10390709054274937
"('N-HEX-01', '2-MET-02')",0.04820951265841728
"('N-HEX-01', '2:2:4-01')",0.1222768406797
"('N-HEX-01', '2-MET-03')",0.11716736090769955
"('N-HEX-01', 'O-XYL-01')",1.1840385135001488
"('N-HEX-01', 'DICHL-01')",0.8832062198285644
"('N-HEX-01', '1:2-D-01')",1.2224570949724547
"('N-HEX-01', '2:4-D-01')",0.16729026097180388
"('N-HEX-01', '1-OCT-02')",5.088093744651988
"('N-HEX-01', '2-MET-04')",0.8357238575825185
"('N-HEX-01', 'SULFO-01')",25.296191715236294
"('N-HEX-01', 'CYCLO-03')",0.1813172554783822
"('N-HEX-01', '2:3:4-01')",0.29705963249409306
"('N-HEX-01', 'TETRA-01')",0.5405116659980849
"('N-HEX-01', 'NITRO-01')",4.73391690730281
"('N-HEX-01', '1:4-D-01')",0.7390753022406494
"('N-HEX-01', 'N-PRO-01')",0.6415201556236293
"('N-HEX-01', 'N-DEC-01')",1.0436459380995982
"('N-HEX-01', 'N:N-D-01')",6.044298407567291
"('N-HEX-01', 'CHLOR-02')",1.3860324882877935
"('N-HEX-01', 'N-OCT-02')",4.001014471763325
"('N-HEX-01', '2:5-D-01')",0.27737232171904486
"('N-HEX-01', 'METHY-03')",0.9232281129624743
"('N-HEX-01', '1-CHL-01')",0.997747644357477
"('N-HEX-01', 'DI-N--01')",5.057875145930336
"('N-HEX-01', 'DIMET-02')",15.055186888474744
"('N-HEX-01', 'DIETH-02')",0.45951272245628993
"('N-HEX-01', 'DIBUT-01')",6.263342448607264
"('N-HEX-01', 'N-BUT-02')",1.1110808532396044
"('N-HEX-01', 'TRIPH-01')",9.995730438196166
"('N-HEX-01', '1-PEN-01')",3.623849013290883
"('N-HEX-01', 'PROPY-01')",1.3332416161932055
"('N-HEX-01', 'N:N-D-02')",7.5154333259196
"('N-HEX-01', 'ETHYL-04')",32.49326899168155
"('N-HEX-01', 'PROPI-01')",2.7306646143615616
"('N-HEX-01', 'N-OCT-03')",7.3840914612436395
"('N-HEX-01', '4-FOR-01')",137.62498509409969
"('N-HEX-01', 'N-TET-01')",6.283360635962184
"('N-HEX-01', 'METHY-04')",0.030539841618707615
"('N-HEX-01', 'METHY-05')",5.353717907985381
"('N-HEX-01', 'N-EIC-01')",4.888924406459095
"('N-HEX-01', 'N-MET-02')",11.58942627511306
"('N-HEX-01', 'PYRID-02')",2.500753631745409
"('N-HEX-01', 'DIISO-01')",0.6611430125094789
"('N-HEX-01', '1-TRA-01')",1.194884733254321
"('N-HEX-01', 'METHY-06')",0.9463105876727254
"('N-HEX-01', 'ANILI-01')",9.670658833252801
"('N-HEX-01', '1-PEN-02')",1.814007774169496
"('N-HEX-01', 'NITRO-02')",7.9067916634077084
"('N-HEX-01', 'TERT--01')",0.6309161043281512
"('N-HEX-01', 'TETRA-02')",18.34635942969597
"('N-HEX-01', 'TRIET-02')",0.07721087481912385
"('N-HEX-01', '2-BUT-01')",0.8308748725246532
"('N-HEX-01', 'N-MET-03')",19.148705210233107
"('N-HEX-01', 'ISOBU-01')",1.5407335381416922
"('N-HEX-01', 'METHY-07')",0.7975766656916922
"('N-HEX-01', 'ETHYL-05')",0.8074955274700867
"('N-HEX-01', 'ETHYL-06')",0.9285765879213129
"('N-HEX-01', 'METHY-08')",0.8572253319280428
"('N-HEX-01', 'PROPY-02')",11.495386859812758
"('N-HEX-01', 'METHY-09')",2.778318653190764
"('N-HEX-01', 'N-BUT-03')",0.4419811701979613
"('N-HEX-01', '1-HEX-02')",5.9773771522050305
"('N-HEX-01', '2-PYR-01')",24.848713433867335
"('N-HEX-01', 'N-TRI-01')",9.009042916211566
"('N-HEX-01', 'QUINO-01')",7.472194449305421
"('N-HEX-01', 'DIETH-04')",7.455066458572855
"('N-HEX-01', 'TRI-N-01')",18.202322667881567
"('N-HEX-01', 'CYCLO-04')",1.009766120538987
"('N-HEX-01', '3-MET-01')",0.5236344607983787
"('N-HEX-01', 'TRICH-01')",0.15063070603689557
"('N-HEX-01', 'CYCLO-05')",5.922961105675587
"('N-HEX-01', 'N-HEX-03')",5.35744653855086
"('N-HEX-01', 'TRI-O-01')",40.492442990038484
"('N-HEX-01', '1-OCT-03')",12.163084291509831
"('N-HEX-01', 'N-HEX-04')",11.062205642300004
"('N-HEX-01', 'METHY-10')",6.838302852870426
"('N-HEX-01', 'BROMO-01')",1.3826645822529446
"('N-HEX-01', 'CARBO-02')",0.3240091172344377
"('N-HEX-01', 'TRANS-01')",
"('N-HEX-01', '2-MET-05')",3.9819053393151704
"('N-HEX-01', 'N-DOD-01')",1.8108193998330344
"('N-HEX-01', 'N-PEN-02')",0.5264193076994577
"('N-HEX-01', 'TERT--02')",1.7454267728443336
"('N-HEX-01', 'PIMEL-01')",23.23812872880568
"('N-HEX-01', 'STYRE-01')",3.4573146815469786
"('N-HEX-01', '2:2-D-01')",0.9522153682616017
"('N-HEX-01', 'BUTYR-01')",2.3173691481392136
"('N-HEX-01', 'CYCLO-06')",
"('N-HEX-01', '1:6-H-01')",16.187416700504624
"('N-HEX-01', 'GLYCE-01')",15.93632895774027
"('N-HEX-01', 'BENZO-01')",59.53502499551039
"('N-HEX-01', 'SEBAC-01')",11.895214461823215
"('N-HEX-01', 'NITRO-03')",3.451409231574204
"('N-HEX-01', 'LACTI-01')",30.558711687846248
"('N-HEX-01', 'PHENA-01')",15.62098051174349
"('N-HEX-01', '2:3-D-01')",0.8677808947825807
"('N-HEX-01', '2-MET-06')",0.4674798761110662
"('N-HEX-01', 'STEAR-01')",2.534740983886802
"('N-HEX-01', 'BEHEN-01')",9.341068462846456
"('N-HEX-01', 'FORMA-01')",130.14581009837804
"('N-HEX-01', 'DIBUT-02')",4.478433591246975
"('N-HEX-01', 'DODEC-01')",4.668605923107247
"('N-HEX-01', 'GAMMA-01')",28.063234594321568
"('N-HEX-01', '1:2:2-01')",76.71546931118405
"('N-HEX-01', '1-MET-01')",7.677282412474633
"('N-HEX-01', 'FLUOR-01')",0.24115824957149495
"('N-HEX-01', 'CYCLO-07')",1.6303637386198642
"('N-HEX-01', '1:2-D-02')",6.446856635378049
"('N-HEX-01', 'CIS-1-01')",
"('N-HEX-01', 'N-DOT-01')",
"('N-HEX-01', 'FURAN')",224.8877425083762
"('N-HEX-01', 'BUTYL-01')",0.7760046469129623
"('N-HEX-01', 'ACETA-02')",4.669979156888867
"('N-HEX-01', '1-CHL-02')",1.3406668016643475
"('N-HEX-01', 'N-PRO-02')",1.867139889346539
"('N-HEX-01', '3-MET-03')",
"('N-HEX-01', 'METHY-11')",0.5565364065056704
"('N-HEX-01', '1:1:1-01')",0.21111396729830462
"('N-HEX-01', '1-NIT-01')",3.643608966898022
"('N-HEX-01', 'ETHYL-07')",8.56603836085255
"('N-HEX-01', 'ISOBU-02')",0.5119676748315439
"('N-HEX-01', '2:3-D-02')",
"('N-HEX-01', 'N-DOC-01')",5.39124452879171
"('N-HEX-01', '1-HEX-03')",2.8046063884093027
"('N-HEX-01', '1:3-B-01')",2.08784931854765
"('N-HEX-01', 'BIS-C-01')",26.557742006228366
"('N-HEX-01', 'CAPRO-01')",27.51905262979257
"('N-HEX-01', 'CYCLO-08')",6.594931128328477
"('N-HEX-01', 'CYCLO-09')",2.776101946224316
"('N-HEX-01', '1-BUT-01')",0.4863045687870891
"('N-HEX-01', 'GLUTA-01')",25.27706139912936
"('N-HEX-01', 'DIISO-02')",7.917163785472537
"('N-HEX-01', 'PROPA-01')",0.869146475061272
"('N-HEX-01', '1-TET-01')",4.563049303425656
"('N-HEX-01', '1-EIC-01')",5.776463969012478
"('N-HEX-01', 'BENZY-01')",6.3283273851101685
"('N-HEX-01', 'TRANS-02')",0.835431262514826
"('N-HEX-01', 'N-BUT-04')",0.1268075399762233
"('N-HEX-01', 'ISOPR-02')",1.707205420766483
"('N-HEX-01', 'GLYCE-02')",13.757057863257716
"('N-HEX-01', 'ISOBU-03')",1.3084687102370973
"('N-HEX-01', '1-DEC-01')",0.8852797214917961
"('N-HEX-01', 'DIOCT-01')",5.037446765532901
"('N-HEX-01', 'ADIPO-01')",24.078835301865137
"('N-HEX-01', '2-MET-07')",0.6800267496770267
"('N-HEX-01', '1-OCT-04')",3.6462773305238683
"('N-HEX-01', '2:2-D-02')",
"('N-HEX-01', 'N-BUT-05')",0.09958333763831899
"('N-HEX-01', '1-HEP-02')",
"('N-HEX-01', 'TERT--03')",0.6821846561763826
"('N-HEX-01', 'BENZY-02')",11.099615107076678
"('N-HEX-01', '3-MET-04')",0.20322738934585702
