,MAE
"('WATER', 'N-HEX-01')",13.70489281955854
"('WATER', 'BENZE-01')",8.640740295326745
"('WATER', 'N-HEP-01')",13.731013611931164
"('WATER', 'CYCLO-01')",11.716953028517148
"('WATER', 'N-OCT-01')",15.268714400689095
"('WATER', 'TOLUE-01')",9.495100989649927
"('WATER', 'METHY-02')",12.360933212596755
"('WATER', '1-HEX-01')",12.878796453062142
"('WATER', 'ETHYL-01')",14.006628543287613
"('WATER', 'N-PEN-01')",14.823469957349134
"('WATER', '1-HEP-01')",12.791292820270208
"('WATER', 'ETHAN-01')",2.2694024350401842
"('WATER', 'METHA-01')",1.2860310874126841
"('WATER', '1-OCT-01')",14.036545956576955
"('WATER', 'N-NON-01')",17.621148708798458
"('WATER', 'CYCLO-02')",10.46660712925294
"('WATER', 'METHY-01')",4.178046421179216
"('WATER', 'ACETO-01')",3.739154325332567
"('WATER', 'ETHYL-02')",4.510121470727653
"('WATER', 'N-HEX-02')",27.856917365278107
"('WATER', 'SQUAL-01')",37.71076493972099
"('WATER', 'CHLOR-01')",8.547844894851675
"('WATER', 'N-BUT-01')",5.053687076813725
"('WATER', 'CARBO-01')",10.53564564495873
"('WATER', 'ETHYL-03')",11.726218636404758
"('WATER', '1-PRO-01')",3.1917400697976355
"('WATER', 'ACETO-02')",3.135839916606769
"('WATER', 'P-XYL-01')",11.5361186332229
"('WATER', 'M-XYL-01')",11.524613059314582
"('WATER', 'ISOPR-01')",2.680967695708037
"('WATER', '2-MET-01')",13.151161468374141
"('WATER', '2-MET-02')",14.105851478349718
"('WATER', '2:2:4-01')",14.452037623345799
"('WATER', '2-MET-03')",13.68884385286943
"('WATER', 'O-XYL-01')",11.85675075127555
"('WATER', 'DICHL-01')",8.517548552605547
"('WATER', '1:2-D-01')",7.360454375552646
"('WATER', '2:4-D-01')",14.024071030524473
"('WATER', '1-OCT-02')",14.786358919313328
"('WATER', '2-MET-04')",15.466382680067776
"('WATER', 'SULFO-01')",19.83802491582547
"('WATER', 'N-MET-01')",7.362977998194788
"('WATER', 'CYCLO-03')",12.446627696697428
"('WATER', '2:3:4-01')",14.53445249012686
"('WATER', 'TETRA-01')",2.6453554600817144
"('WATER', 'NITRO-01')",3.0840425251546293
"('WATER', '1:4-D-01')",2.4706866515816768
"('WATER', 'N-PRO-01')",5.890918096278763
"('WATER', 'N-DEC-01')",19.793759281249976
"('WATER', 'N:N-D-01')",2.456871736660145
"('WATER', 'CHLOR-02')",11.489507263516812
"('WATER', 'N-OCT-02')",31.432347503092277
"('WATER', '2:5-D-01')",14.607087764477496
"('WATER', 'METHY-03')",4.186413705431363
"('WATER', '1-CHL-01')",10.176357338733563
"('WATER', 'DI-N--01')",15.1650240614357
"('WATER', 'DIMET-02')",3.2384859134097157
"('WATER', 'DIETH-02')",7.189908704155979
"('WATER', 'DIBUT-01')",21.022032153081042
"('WATER', 'N-BUT-02')",8.211412273179786
"('WATER', 'TRIPH-01')",25.457668703170963
"('WATER', 'DIETH-03')",13.564235669579867
"('WATER', '1-PEN-01')",7.702964386519167
"('WATER', 'TRIET-01')",15.016134263543423
"('WATER', 'PROPY-01')",10.835124847654214
"('WATER', 'N:N-D-02')",7.558017284154195
"('WATER', 'ETHYL-04')",1.367058795350038
"('WATER', 'PROPI-01')",2.387987109360034
"('WATER', 'N-OCT-03')",33.34170645600726
"('WATER', '4-FOR-01')",103.88890824660602
"('WATER', 'N-TET-01')",36.56233415465766
"('WATER', 'METHY-04')",12.278321739800237
"('WATER', 'METHY-05')",10.45980276506374
"('WATER', 'N-EIC-01')",32.95210620320406
"('WATER', 'N-MET-02')",4.825360489793267
"('WATER', 'PYRID-02')",7.911963920790167
"('WATER', 'DIISO-01')",7.4581816519200785
"('WATER', '1-TRA-01')",12.373687828548265
"('WATER', 'METHY-06')",5.597278377365201
"('WATER', 'ANILI-01')",11.555727072567034
"('WATER', '1-PEN-02')",14.271276900318382
"('WATER', 'NITRO-02')",17.213909342704667
"('WATER', 'TERT--01')",3.3451875903896533
"('WATER', 'TETRA-02')",11.67025820291205
"('WATER', 'TRIET-02')",3.6987190499646005
"('WATER', '2-BUT-01')",3.835528078619688
"('WATER', 'N-MET-03')",2.4851966168606934
"('WATER', 'PHENO-01')",11.969203146595222
"('WATER', 'ISOBU-01')",4.547550440088351
"('WATER', 'METHY-07')",6.600119630906011
"('WATER', 'ETHYL-05')",10.186915174561687
"('WATER', 'ETHYL-06')",10.593246691157235
"('WATER', 'METHY-08')",6.288735628999442
"('WATER', 'PROPY-02')",11.684261446447275
"('WATER', 'METHY-09')",16.740637429964963
"('WATER', 'N-BUT-03')",15.88481791983017
"('WATER', '1-HEX-02')",26.24943411182321
"('WATER', '2-PYR-01')",13.831483370484765
"('WATER', 'N-TRI-01')",38.192287744956964
"('WATER', 'QUINO-01')",10.617900297729838
"('WATER', 'DIETH-04')",11.870145467149369
"('WATER', 'TRI-N-01')",17.000245486442537
"('WATER', 'CYCLO-04')",11.826249845599769
"('WATER', '3-MET-01')",14.018142590242874
"('WATER', 'TRICH-01')",17.78779098656259
"('WATER', 'CYCLO-05')",5.5509422385856855
"('WATER', 'N-HEX-03')",29.33967898151078
"('WATER', 'TRI-O-01')",38.278897891573884
"('WATER', '1-OCT-03')",16.85315923584258
"('WATER', 'N-HEX-04')",35.85632729144443
"('WATER', 'METHY-10')",13.564909308094279
"('WATER', 'BROMO-01')",12.870372346218423
"('WATER', 'FURFU-01')",10.226344570040057
"('WATER', 'CARBO-02')",19.570603834297046
"('WATER', 'TRANS-01')",
"('WATER', 'DIETH-05')",15.232475296894078
"('WATER', '2-MET-05')",3.470606882930585
"('WATER', 'N-DOD-01')",24.30520408503104
"('WATER', 'N-PEN-02')",10.532910956222143
"('WATER', 'TERT--02')",11.948066973530132
"('WATER', 'PIMEL-01')",17.88374626302677
"('WATER', 'STYRE-01')",11.563694013914127
"('WATER', '2:2-D-01')",14.866292604645093
"('WATER', 'BUTYR-01')",4.721862919104237
"('WATER', 'CYCLO-06')",
"('WATER', '1:6-H-01')",8.674644920105884
"('WATER', 'GLYCE-01')",12.44571075646754
"('WATER', 'BENZO-01')",68.554425187493
