,MAE
"('WATER', 'N-HEX-01')",42.463765037115024
"('WATER', 'BENZE-01')",23.593623199213166
"('WATER', 'N-HEP-01')",44.981155984093654
"('WATER', 'CYCLO-01')",39.767545545678175
"('WATER', 'N-OCT-01')",48.4961709315644
"('WATER', 'TOLUE-01')",26.852107109157835
"('WATER', 'METHY-02')",41.809641556773414
"('WATER', '1-HEX-01')",36.930044160804464
"('WATER', 'ETHYL-01')",44.84800088534638
"('WATER', 'N-PEN-01')",40.61375454179552
"('WATER', '1-HEP-01')",40.344013409163345
"('WATER', 'ETHAN-01')",1.2312382952859218
"('WATER', 'METHA-01')",1.0569343558745745
"('WATER', '1-OCT-01')",43.14352476347278
"('WATER', 'N-NON-01')",51.95327497420433
"('WATER', 'CYCLO-02')",34.593951922688305
"('WATER', 'METHY-01')",4.172293879783607
"('WATER', 'ACETO-01')",2.982572567075502
"('WATER', 'ETHYL-02')",6.307369070953905
"('WATER', 'N-HEX-02')",60.93544715501059
"('WATER', 'SQUAL-01')",66.12557327752154
"('WATER', 'CHLOR-01')",21.145312568107084
"('WATER', 'N-BUT-01')",1.8075517533568832
"('WATER', 'CARBO-01')",33.77285103726702
"('WATER', 'ETHYL-03')",31.01001015193175
"('WATER', '1-PRO-01')",0.5849218673610005
"('WATER', 'ACETO-02')",1.8229508049788379
"('WATER', 'P-XYL-01')",30.00960971527599
"('WATER', 'M-XYL-01')",30.23729132376878
"('WATER', 'ISOPR-01')",1.1727431508942807
"('WATER', '2-MET-01')",28.08360547265713
"('WATER', '2-MET-02')",43.21472177061815
"('WATER', '2:2:4-01')",46.61223677152345
"('WATER', '2-MET-03')",32.46930920600755
"('WATER', 'O-XYL-01')",31.15139226298319
"('WATER', 'DICHL-01')",17.73262474996714
"('WATER', '1:2-D-01')",17.694765591532008
"('WATER', '2:4-D-01')",44.10804183721013
"('WATER', '1-OCT-02')",10.727673446516631
"('WATER', '2-MET-04')",41.212886129543634
"('WATER', 'SULFO-01')",14.262203932849177
"('WATER', 'N-MET-01')",2.0671753380877207
"('WATER', 'CYCLO-03')",36.712577351162764
"('WATER', '2:3:4-01')",44.33522546999559
"('WATER', 'TETRA-01')",3.432246168580971
"('WATER', 'NITRO-01')",3.97862386820442
"('WATER', '1:4-D-01')",2.4119930587758165
"('WATER', 'N-PRO-01')",9.52220046556893
"('WATER', 'N-DEC-01')",53.30968760949452
"('WATER', 'N:N-D-01')",0.3019146884248576
"('WATER', 'CHLOR-02')",29.45230372779893
"('WATER', 'N-OCT-02')",50.9327808397657
"('WATER', '2:5-D-01')",44.70932074276487
"('WATER', 'METHY-03')",5.0933757454880535
"('WATER', '1-CHL-01')",25.732624223400464
"('WATER', 'DI-N--01')",35.01690809305386
"('WATER', 'DIMET-02')",11.638547897320494
"('WATER', 'DIETH-02')",8.71421834355152
