,MAE
"('WATER', 'N-HEX-01')",40.73965212721995
"('WATER', 'BENZE-01')",21.80842783828045
"('WATER', 'N-HEP-01')",42.14261744870354
"('WATER', 'CYCLO-01')",38.224512650620774
"('WATER', 'N-OCT-01')",44.66800317330585
"('WATER', 'TOLUE-01')",23.832613295857765
"('WATER', 'METHY-02')",39.70933951368581
"('WATER', '1-HEX-01')",35.577060006372164
"('WATER', 'ETHYL-01')",42.137535564073076
"('WATER', 'N-PEN-01')",40.031031515722624
"('WATER', '1-HEP-01')",37.21843427800852
"('WATER', 'ETHAN-01')",1.5297510908213559
"('WATER', 'METHA-01')",1.3242322588458866
"('WATER', '1-OCT-01')",39.078290822263824
"('WATER', 'N-NON-01')",47.48363003154524
"('WATER', 'CYCLO-02')",30.43813014567598
"('WATER', 'METHY-01')",4.083296627122459
"('WATER', 'ACETO-01')",2.5110573486172676
"('WATER', 'ETHYL-02')",7.254942414747343
"('WATER', 'N-HEX-02')",53.08902183890624
"('WATER', 'SQUAL-01')",51.86642086147957
"('WATER', 'CHLOR-01')",21.211911329084284
"('WATER', 'N-BUT-01')",1.1301389685096008
"('WATER', 'CARBO-01')",31.629438140835063
"('WATER', 'ETHYL-03')",27.03274932264324
"('WATER', '1-PRO-01')",1.0380033256892456
"('WATER', 'ACETO-02')",2.185979543409526
"('WATER', 'P-XYL-01')",26.353654290985446
"('WATER', 'M-XYL-01')",26.921674158253456
"('WATER', 'ISOPR-01')",1.5406854445303395
"('WATER', '2-MET-01')",28.340754602988397
"('WATER', '2-MET-02')",42.12181685911592
"('WATER', '2:2:4-01')",43.23202984518442
"('WATER', '2-MET-03')",31.52902297537746
"('WATER', 'O-XYL-01')",27.271265027651904
"('WATER', 'DICHL-01')",18.16561342261576
"('WATER', '1:2-D-01')",17.674433200108542
"('WATER', '2:4-D-01')",43.09586334360511
"('WATER', '1-OCT-02')",12.578059876103453
"('WATER', '2-MET-04')",40.32134977281145
"('WATER', 'SULFO-01')",3.1003896949818563
"('WATER', 'N-MET-01')",1.6018015357444397
"('WATER', 'CYCLO-03')",35.5201251665461
"('WATER', '2:3:4-01')",42.14282114479166
"('WATER', 'TETRA-01')",3.5234350629979425
"('WATER', 'NITRO-01')",1.435777304142659
"('WATER', '1:4-D-01')",0.8579020701774837
"('WATER', 'N-PRO-01')",9.719182421542634
"('WATER', 'N-DEC-01')",49.73307019439393
"('WATER', 'N:N-D-01')",1.2206677790233869
"('WATER', 'CHLOR-02')",25.477256454749337
"('WATER', 'N-OCT-02')",52.478041654289264
"('WATER', '2:5-D-01')",43.18591744647598
"('WATER', 'METHY-03')",5.961527589501406
"('WATER', '1-CHL-01')",24.45448776288864
"('WATER', 'DI-N--01')",8.520130289262136
"('WATER', 'DIMET-02')",13.743414091387287
"('WATER', 'DIETH-02')",11.900973992183074
"('WATER', 'DIBUT-01')",16.804220969383316
"('WATER', 'N-BUT-02')",13.161663192439098
"('WATER', 'TRIPH-01')",20.286329448656577
"('WATER', 'DIETH-03')",9.994508482382757
"('WATER', '1-PEN-01')",3.894106608567662
"('WATER', 'TRIET-01')",11.775345897344922
"('WATER', 'PROPY-01')",26.475752483523948
"('WATER', 'N:N-D-02')",2.02657481919647
"('WATER', 'ETHYL-04')",0.7821960232863006
"('WATER', 'PROPI-01')",2.009165038440574
"('WATER', 'N-OCT-03')",49.19287183017472
"('WATER', '4-FOR-01')",103.21972866078028
"('WATER', 'N-TET-01')",51.9729073651352
"('WATER', 'METHY-04')",38.44432577507318
"('WATER', 'METHY-05')",16.396585342541872
"('WATER', 'N-EIC-01')",53.65964527022522
"('WATER', 'N-MET-02')",1.162299212630439
"('WATER', 'PYRID-02')",7.099423299663667
"('WATER', 'DIISO-01')",13.748661473181592
"('WATER', '1-TRA-01')",25.52907333220302
"('WATER', 'METHY-06')",5.897691711316505
"('WATER', 'ANILI-01')",9.599433741611364
"('WATER', '1-PEN-02')",27.97385428758277
"('WATER', 'NITRO-02')",20.643165199876627
"('WATER', 'TERT--01')",1.641393268904953
"('WATER', 'TETRA-02')",14.501120525762966
"('WATER', 'TRIET-02')",2.165493048648135
"('WATER', '2-BUT-01')",0.9528142188384785
"('WATER', 'N-MET-03')",2.9427244370256878
"('WATER', 'PHENO-01')",3.8753550016456844
"('WATER', 'ISOBU-01')",0.9861807863624263
"('WATER', 'METHY-07')",8.089361293942272
"('WATER', 'ETHYL-05')",32.31411821011038
"('WATER', 'ETHYL-06')",22.314504254349902
"('WATER', 'METHY-08')",9.657521803076031
"('WATER', 'PROPY-02')",9.816090834474343
"('WATER', 'METHY-09')",43.75184478691028
"('WATER', 'N-BUT-03')",40.47719537813904
"('WATER', '1-HEX-02')",22.47985648516647
"('WATER', '2-PYR-01')",5.878671726407081
"('WATER', 'N-TRI-01')",51.60697858015476
"('WATER', 'QUINO-01')",16.557527356697427
"('WATER', 'DIETH-04')",10.64239893297754
"('WATER', 'TRI-N-01')",18.73981385455722
"('WATER', 'CYCLO-04')",26.80103751287358
"('WATER', '3-MET-01')",42.9985638491356
"('WATER', 'TRICH-01')",34.45043655895097
"('WATER', 'CYCLO-05')",5.635265212838036
"('WATER', 'N-HEX-03')",24.158619091569545
"('WATER', 'TRI-O-01')",36.48489074872591
"('WATER', '1-OCT-03')",13.816410762461256
"('WATER', 'N-HEX-04')",64.23372767422704
"('WATER', 'METHY-10')",13.958993915234199
"('WATER', 'BROMO-01')",27.00285907670284
"('WATER', 'FURFU-01')",8.746259551020087
"('WATER', 'CARBO-02')",42.52421998999112
"('WATER', 'TRANS-01')",
"('WATER', 'DIETH-05')",10.253533773414196
"('WATER', '2-MET-05')",4.95269332785746
"('WATER', 'N-DOD-01')",55.969808491183116
"('WATER', 'N-PEN-02')",17.082242920636617
"('WATER', 'TERT--02')",29.48182097861616
"('WATER', 'PIMEL-01')",13.893084310969213
"('WATER', 'STYRE-01')",35.32339000008475
"('WATER', '2:2-D-01')",41.92397004516266
"('WATER', 'BUTYR-01')",4.841323031628487
"('WATER', 'CYCLO-06')",
"('WATER', '1:6-H-01')",6.0812196376165595
"('WATER', 'GLYCE-01')",8.811649981905395
"('WATER', 'BENZO-01')",68.87120655483886
"('WATER', 'NITRO-03')",4.929143055735279
"('WATER', 'LACTI-01')",6.728222524689922
"('WATER', 'PHENA-01')",17.207139010498306
"('WATER', '2:3-D-01')",42.00034875659994
"('WATER', '2-MET-06')",27.36224164118417
"('WATER', 'DIBUT-02')",12.160940235625603
"('WATER', 'DODEC-01')",23.16680287877972
"('WATER', 'GAMMA-01')",9.565616983814474
"('WATER', '1:2:2-01')",108.9211667571222
"('WATER', '1-MET-01')",26.39844180720803
"('WATER', 'FLUOR-01')",22.589115413708075
"('WATER', 'CYCLO-07')",34.94687110557262
"('WATER', '1:2-D-02')",3.6541925662960115
"('WATER', 'CIS-1-01')",
"('WATER', 'N-DOT-01')",
"('WATER', 'FURAN')",231.9626691463143
"('WATER', 'BUTYL-01')",24.2463063500021
"('WATER', 'ACETA-02')",5.853759633139449
"('WATER', '1-CHL-02')",27.622486396260022
"('WATER', 'N-PRO-02')",33.235676404903856
"('WATER', '3-MET-03')",
"('WATER', 'METHY-11')",11.99986213771918
"('WATER', '1-NIT-01')",8.486204237197686
"('WATER', 'ETHYL-07')",24.292256155130485
"('WATER', 'ISOBU-02')",31.714259456010556
"('WATER', '2:3-D-02')",
"('WATER', 'N-DOC-01')",48.64669437250217
"('WATER', '1-HEX-03')",4.589731192350139
"('WATER', '1:3-B-01')",32.41862434135716
"('WATER', 'BIS-C-01')",20.508298050176652
"('WATER', 'CAPRO-01')",11.058637405914707
"('WATER', 'CYCLO-08')",6.044057010111951
"('WATER', 'CYCLO-09')",40.16368271376567
"('WATER', '1-BUT-01')",31.29499335122776
"('WATER', 'GLUTA-01')",11.348347073667972
"('WATER', 'DIISO-02')",17.42896396257179
"('WATER', 'PROPA-01')",38.74321830569562
"('WATER', '1-TET-01')",22.38017093973219
"('WATER', '1-EIC-01')",32.26185233012985
"('WATER', 'BENZY-01')",21.388937062824414
"('WATER', 'TRANS-02')",29.97318968479903
"('WATER', 'N-BUT-04')",6.225706730616242
"('WATER', 'ISOPR-02')",31.713443455055955
"('WATER', 'ISOQU-01')",
"('WATER', 'GLYCE-02')",13.910121246563838
"('WATER', 'ISOBU-03')",40.19765114983588
"('WATER', '1-DEC-01')",55.39580658715662
"('WATER', 'DIOCT-01')",12.652294655190568
