,Solute,Solvent,Solute SMILES,Solvent SMILES,Temp (K),ln gamma,Source
0,n-Hexane,"1,1,2,2-tetrabromoethane",CCCCCC,BrC(Br)C(Br)Br,298.15,2.370243741,Medina
1,Cyclohexane,"1,1,2,2-tetrabromoethane",C1CCCCC1,BrC(Br)C(Br)Br,298.15,1.623340818,Medina
2,Benzene,"1,1,2,2-tetrabromoethane",c1ccccc1,BrC(Br)C(Br)Br,298.15,0.21511138,Medina
3,2-methyl-2-butene,"1,1,2,2-tetrabromoethane",CC=C(C)C,BrC(Br)C(Br)Br,298.15,1.30833282,Medina
4,"2-methyl-1,3-butadiene","1,1,2,2-tetrabromoethane",C=CC(=C)C,BrC(Br)C(Br)Br,298.15,0.896088025,Medina
5,n-Pentane,"1,1,2,2-tetrachloroethane",CCCCC,ClC(Cl)C(Cl)Cl,298.15,1.160020917,Medina
6,2-methylbutane,"1,1,2,2-tetrachloroethane",CCC(C)C,ClC(Cl)C(Cl)Cl,298.15,1.534714366,Medina
7,n-Hexane,"1,1,2,2-tetrachloroethane",CCCCCC,ClC(Cl)C(Cl)Cl,298.15,1.271823573,Medina
8,Cyclohexane,"1,1,2,2-tetrachloroethane",C1CCCCC1,ClC(Cl)C(Cl)Cl,298.15,1.030995074,Medina
9,Benzene,"1,1,2,2-tetrachloroethane",c1ccccc1,ClC(Cl)C(Cl)Cl,298.15,-0.223143551,Medina
10,2-methyl-2-butene,"1,1,2,2-tetrachloroethane",CC=C(C)C,ClC(Cl)C(Cl)Cl,298.15,0.593326845,Medina
11,"2-methyl-1,3-butadiene","1,1,2,2-tetrachloroethane",C=CC(=C)C,ClC(Cl)C(Cl)Cl,298.15,0.343589704,Medina
12,Acetone,"1,1,2,2-tetrachloroethane",CC(C)=O,ClC(Cl)C(Cl)Cl,298.15,-1.049822124,Medina
13,Benzene,"1,12-dicyanododecane",c1ccccc1,N#CCCCCCCCCCCCCC#N,298.15,0.09531018,Medina
14,Toluene,"1,12-dicyanododecane",Cc1ccccc1,N#CCCCCCCCCCCCCC#N,298.15,0.09531018,Medina
15,ethylbenzene,"1,12-dicyanododecane",CCc1ccccc1,N#CCCCCCCCCCCCCC#N,298.15,0.405465108,Medina
16,Benzene,"1,2-dibromoethane",c1ccccc1,BrCCBr,298.15,0.504088438,Medina
17,Toluene,"1,2-dibromoethane",Cc1ccccc1,BrCCBr,298.15,0.488580015,Medina
18,n-Pentane,"1,2-dichloroethane",CCCCC,ClCCCl,298.15,1.504077397,Medina
19,n-Hexane,"1,2-dichloroethane",CCCCCC,ClCCCl,298.15,1.4968833496666667,Medina
20,Cyclohexane,"1,2-dichloroethane",C1CCCCC1,ClCCCl,298.15,1.418819416,Medina
21,2-methylpentane,"1,2-dichloroethane",CCCC(C)C,ClCCCl,298.15,1.631199404,Medina
22,n-Heptane,"1,2-dichloroethane",CCCCCCC,ClCCCl,298.15,1.757857918,Medina
23,"2,4-dimethylpentane","1,2-dichloroethane",CC(C)CC(C)C,ClCCCl,298.15,1.729884066,Medina
24,n-Octane,"1,2-dichloroethane",CCCCCCCC,ClCCCl,298.15,1.860974538,Medina
25,"2,3,4-trimethylpentane","1,2-dichloroethane",CC(C)C(C)C(C)C,ClCCCl,298.15,1.72455072,Medina
26,"2,5-dimethylhexane","1,2-dichloroethane",CC(C)CCC(C)C,ClCCCl,298.15,1.818076778,Medina
27,ethylcyclohexane,"1,2-dichloroethane",CCC1CCCCC1,ClCCCl,298.15,1.597365331,Medina
28,n-Nonane,"1,2-dichloroethane",CCCCCCCCC,ClCCCl,298.15,1.968509981,Medina
29,Benzene,"1,2-dichloroethane",c1ccccc1,ClCCCl,298.15,0.182321557,Medina
30,n-Hexane,"1,2-dicyanoethane",CCCCCC,N#CCCC#N,298.15,5.913503006,Medina
31,Cyclohexane,"1,2-dicyanoethane",C1CCCCC1,N#CCCC#N,298.15,4.882801923,Medina
32,Benzene,"1,2-dicyanoethane",c1ccccc1,N#CCCC#N,298.15,2.028148247,Medina
33,2-methyl-2-butene,"1,2-dicyanoethane",CC=C(C)C,N#CCCC#N,298.15,3.80666249,Medina
34,"2-methyl-1,3-butadiene","1,2-dicyanoethane",C=CC(=C)C,N#CCCC#N,298.15,2.975529566,Medina
35,Cyclohexane,"1,2-diethoxyethane",C1CCCCC1,CCOCCOCC,298.15,0.672944473,Medina
36,Cyclohexane,"1,2-diethoxymethane",C1CCCCC1,CCOCOCC,298.15,0.457424847,Medina
37,Cyclohexane,"1,2-dimethoxyethane",C1CCCCC1,COCCOC,298.15,1.223775432,Medina
38,n-Hexane,"1,3-dichloropropane",CCCCCC,ClCCCCl,298.15,0.78845736,Medina
39,Acetone,"1,3-dichloropropane",CC(C)=O,ClCCCCl,298.15,0.067658648,Medina
40,n-Hexane,"1,3-dicyanopropane",CCCCCC,N#CCCCC#N,298.15,4.616110126,Medina
41,Cyclohexane,"1,3-dicyanopropane",C1CCCCC1,N#CCCCC#N,298.15,3.925925911,Medina
42,Benzene,"1,3-dicyanopropane",c1ccccc1,N#CCCCC#N,298.15,1.46270855,Medina
43,Toluene,"1,3-dicyanopropane",Cc1ccccc1,N#CCCCC#N,298.15,1.648658626,Medina
44,ethylbenzene,"1,3-dicyanopropane",CCc1ccccc1,N#CCCCC#N,298.15,2.116255515,Medina
45,2-methyl-2-butene,"1,3-dicyanopropane",CC=C(C)C,N#CCCCC#N,298.15,3.206803244,Medina
46,"2-methyl-1,3-butadiene","1,3-dicyanopropane",C=CC(=C)C,N#CCCCC#N,298.15,2.388762789,Medina
47,n-Hexane,"1,4-dichlorobutane",CCCCCC,ClCCCCCl,298.15,1.313723668,Medina
48,Acetone,"1,4-dichlorobutane",CC(C)=O,ClCCCCCl,298.15,0.058268908,Medina
49,n-Pentane,"1,4-dicyanobutane",CCCCC,N#CCCCCC#N,298.15,3.5463699765000003,Medina
50,Cyclopentane,"1,4-dicyanobutane",C1CCCC1,N#CCCCCC#N,298.15,2.740840024,Medina
51,2-methylbutane,"1,4-dicyanobutane",CCC(C)C,N#CCCCCC#N,298.15,3.688879454,Medina
52,n-Hexane,"1,4-dicyanobutane",CCCCCC,N#CCCCCC#N,298.15,3.870843387,Medina
53,Cyclohexane,"1,4-dicyanobutane",C1CCCCC1,N#CCCCCC#N,298.15,3.200593623,Medina
54,n-Heptane,"1,4-dicyanobutane",CCCCCCC,N#CCCCCC#N,298.15,4.063885355,Medina
55,Cycloheptane,"1,4-dicyanobutane",C1CCCCCC1,N#CCCCCC#N,298.15,3.292126287,Medina
56,n-Octane,"1,4-dicyanobutane",CCCCCCCC,N#CCCCCC#N,298.15,4.370712875,Medina
57,Cyclooctane,"1,4-dicyanobutane",C1CCCCCCC1,N#CCCCCC#N,298.15,3.523415014,Medina
58,n-Nonane,"1,4-dicyanobutane",CCCCCCCCC,N#CCCCCC#N,298.15,4.700480366,Medina
59,n-Decane,"1,4-dicyanobutane",CCCCCCCCCC,N#CCCCCC#N,298.15,4.976733742,Medina
60,Benzene,"1,4-dicyanobutane",c1ccccc1,N#CCCCCC#N,298.15,0.8870925084285713,Medina
61,Toluene,"1,4-dicyanobutane",Cc1ccccc1,N#CCCCCC#N,298.15,1.280933845,Medina
62,ethylbenzene,"1,4-dicyanobutane",CCc1ccccc1,N#CCCCCC#N,298.15,1.704748092,Medina
63,2-methyl-2-butene,"1,4-dicyanobutane",CC=C(C)C,N#CCCCCC#N,298.15,2.533696814,Medina
64,"2-methyl-1,3-butadiene","1,4-dicyanobutane",C=CC(=C)C,N#CCCCCC#N,298.15,1.731655545,Medina
65,1-hexene,"1,4-dicyanobutane",C=CCCCC,N#CCCCCC#N,298.15,2.928523524,Medina
66,1-heptene,"1,4-dicyanobutane",C=CCCCCC,N#CCCCCC#N,298.15,3.250374492,Medina
67,1-octene,"1,4-dicyanobutane",C=CCCCCCC,N#CCCCCC#N,298.15,3.583518938,Medina
68,1-hexyne,"1,4-dicyanobutane",C#CCCCC,N#CCCCCC#N,298.15,1.526056303,Medina
69,1-heptyne,"1,4-dicyanobutane",C#CCCCCC,N#CCCCCC#N,298.15,1.814824742,Medina
70,1-octyne,"1,4-dicyanobutane",C#CCCCCCC,N#CCCCCC#N,298.15,2.159868791,Medina
71,Cyclohexane,"1,4-dimethylpiperazine",C1CCCCC1,CN1CCN(C)CC1,298.15,0.246860078,Medina
72,n-Heptane,"1,4-dimethylpiperazine",CCCCCCC,CN1CCN(C)CC1,298.15,0.350656872,Medina
73,n-Pentane,"1,4-dioxane",CCCCC,C1COCCO1,298.15,1.668134396,Medina
74,n-Hexane,"1,4-dioxane",CCCCCC,C1COCCO1,298.15,1.8351067176666664,Medina
75,Cyclohexane,"1,4-dioxane",C1CCCCC1,C1COCCO1,298.15,1.5338427876666667,Medina
76,2-methylpentane,"1,4-dioxane",CCCC(C)C,C1COCCO1,298.15,1.824472638,Medina
77,n-Heptane,"1,4-dioxane",CCCCCCC,C1COCCO1,298.15,1.957373698,Medina
78,"2,4-dimethylpentane","1,4-dioxane",CC(C)CC(C)C,C1COCCO1,298.15,1.973440074333333,Medina
79,n-Octane,"1,4-dioxane",CCCCCCCC,C1COCCO1,298.15,2.124527518,Medina
80,"2,3,4-trimethylpentane","1,4-dioxane",CC(C)C(C)C(C)C,C1COCCO1,298.15,1.955776835333333,Medina
81,"2,5-dimethylhexane","1,4-dioxane",CC(C)CCC(C)C,C1COCCO1,298.15,2.141241943,Medina
82,ethylcyclohexane,"1,4-dioxane",CCC1CCCCC1,C1COCCO1,298.15,1.8513177746666667,Medina
83,n-Nonane,"1,4-dioxane",CCCCCCCCC,C1COCCO1,298.15,2.2881586473333333,Medina
84,"2,5-dimethylheptane","1,4-dioxane",CCC(C)CCC(C)C,C1COCCO1,298.15,1.887069649,Medina
85,Toluene,"1,4-dioxane",Cc1ccccc1,C1COCCO1,298.15,0.165514438,Medina
86,Ethanol,"1,4-dioxane",CCO,C1COCCO1,298.15,0.91228271,Medina
87,2-Butanone,"1,4-dioxane",CCC(C)=O,C1COCCO1,298.15,0.223143551,Medina
88,triethylamine,"1,4-dioxane",CCN(CC)CC,C1COCCO1,298.15,1.217875709,Medina
