,MAE
"('WATER', 'N-HEX-01')",44.56849852182328
"('WATER', 'BENZE-01')",24.024389505172962
"('WATER', 'N-HEP-01')",46.31956912080015
"('WATER', 'CYCLO-01')",43.14070545773282
"('WATER', 'N-OCT-01')",48.270923220711346
"('WATER', 'TOLUE-01')",31.87811621210982
"('WATER', 'METHY-02')",43.80108874080947
"('WATER', '1-HEX-01')",42.92844520713013
"('WATER', 'ETHYL-01')",45.656724301947655
"('WATER', 'N-PEN-01')",44.461910851226286
"('WATER', '1-HEP-01')",47.63984024634586
"('WATER', 'ETHAN-01')",1.3296806980258
"('WATER', 'METHA-01')",0.8086453981805977
"('WATER', '1-OCT-01')",51.61624774142858
"('WATER', 'N-NON-01')",49.29577637639291
"('WATER', 'CYCLO-02')",38.74380997531715
"('WATER', 'METHY-01')",3.775995332912708
"('WATER', 'ACETO-01')",2.900648123272622
"('WATER', 'ETHYL-02')",5.876195151704276
"('WATER', 'N-HEX-02')",26.078187815107622
"('WATER', 'SQUAL-01')",17.68526948662257
"('WATER', 'CHLOR-01')",10.488686449500072
"('WATER', 'N-BUT-01')",2.189138214290252
"('WATER', 'CARBO-01')",35.91169003489004
"('WATER', 'ETHYL-03')",49.73850075347598
"('WATER', '1-PRO-01')",2.3306616961728643
"('WATER', 'ACETO-02')",3.809907194698003
"('WATER', 'P-XYL-01')",27.52995584209183
"('WATER', 'M-XYL-01')",51.16891288556337
"('WATER', 'ISOPR-01')",1.5911974174384844
"('WATER', '2-MET-01')",31.006467869111898
"('WATER', '2-MET-02')",47.730575932481145
"('WATER', '2:2:4-01')",48.80868563121089
"('WATER', '2-MET-03')",34.831955044928655
"('WATER', 'O-XYL-01')",42.13368149102374
"('WATER', 'DICHL-01')",11.628450604393805
"('WATER', '1:2-D-01')",27.80778262375941
"('WATER', '2:4-D-01')",50.56483513825217
"('WATER', '1-OCT-02')",11.440710879331158
"('WATER', '2-MET-04')",44.90157651904525
"('WATER', 'SULFO-01')",12.66751112475948
"('WATER', 'N-MET-01')",1.339403542222943
"('WATER', 'CYCLO-03')",41.500286452035674
"('WATER', '2:3:4-01')",49.180024491712395
"('WATER', 'TETRA-01')",3.3375428607565136
"('WATER', 'NITRO-01')",3.606835498881536
"('WATER', '1:4-D-01')",2.149853920298987
"('WATER', 'N-PRO-01')",18.31277210968201
"('WATER', 'N-DEC-01')",49.29258043131797
"('WATER', 'N:N-D-01')",0.33580656926128605
"('WATER', 'CHLOR-02')",30.35087449777509
"('WATER', 'N-OCT-02')",19.137394877609328
"('WATER', '2:5-D-01')",52.82044849019702
