,MAPE
"('WATER', 'N-HEX-01')",6.029567518643334
"('WATER', 'BENZE-01')",3.6287474044908925
"('WATER', 'N-HEP-01')",6.009732525400588
"('WATER', 'CYCLO-01')",5.119185817880848
"('WATER', 'N-OCT-01')",6.3788112660944165
"('WATER', 'TOLUE-01')",3.9508078529311423
"('WATER', 'METHY-02')",5.2347643716747365
"('WATER', '1-HEX-01')",5.69404340684864
"('WATER', 'ETHYL-01')",5.696790548719147
"('WATER', 'N-PEN-01')",6.385468361440156
"('WATER', '1-HEP-01')",5.6805397302665
"('WATER', 'ETHAN-01')",0.20592812533349528
"('WATER', 'METHA-01')",0.15085904562063504
"('WATER', '1-OCT-01')",5.963649111230674
"('WATER', 'N-NON-01')",6.9737001222091255
"('WATER', 'CYCLO-02')",4.390075914418295
"('WATER', 'METHY-01')",1.1639022421277603
"('WATER', 'ACETO-01')",0.7922024014383562
"('WATER', 'ETHYL-02')",1.6065785456160955
"('WATER', 'N-HEX-02')",8.788727094381391
"('WATER', 'SQUAL-01')",9.251735761280932
"('WATER', 'CHLOR-01')",3.785063394982206
"('WATER', 'N-BUT-01')",0.9640153465795455
"('WATER', 'CARBO-01')",4.724915581656066
"('WATER', 'ETHYL-03')",4.598791420064026
"('WATER', '1-PRO-01')",0.4347650872902624
"('WATER', 'ACETO-02')",0.6013994861411872
"('WATER', 'P-XYL-01')",4.509468653541912
"('WATER', 'M-XYL-01')",4.518292394034733
"('WATER', 'ISOPR-01')",0.32119100219967134
"('WATER', '2-MET-01')",5.672100429107758
"('WATER', '2-MET-02')",6.167337400411741
"('WATER', '2:2:4-01')",6.383629383228466
"('WATER', '2-MET-03')",5.915381954687826
"('WATER', 'O-XYL-01')",4.590977929905923
"('WATER', 'DICHL-01')",3.641388252064232
"('WATER', '1:2-D-01')",3.2885170406137316
"('WATER', '2:4-D-01')",6.156280436946293
"('WATER', '1-OCT-02')",3.1091783945938043
"('WATER', '2-MET-04')",6.660029628585434
"('WATER', 'SULFO-01')",1.684512116745017
"('WATER', 'N-MET-01')",0.8267235173356285
"('WATER', 'CYCLO-03')",5.292014414109531
"('WATER', '2:3:4-01')",6.2685488534658775
"('WATER', 'TETRA-01')",0.6919730334632063
"('WATER', 'NITRO-01')",0.9217657414028756
"('WATER', '1:4-D-01')",0.5385602858053616
"('WATER', 'N-PRO-01')",2.082305948273445
"('WATER', 'N-DEC-01')",7.31819993879719
"('WATER', 'N:N-D-01')",0.09832322503564171
"('WATER', 'CHLOR-02')",4.28045456603808
"('WATER', 'N-OCT-02')",9.221183880007777
"('WATER', '2:5-D-01')",6.262654105964496
"('WATER', 'METHY-03')",1.3871802295422646
"('WATER', '1-CHL-01')",4.4770290408617095
"('WATER', 'DI-N--01')",3.7787986721514413
"('WATER', 'DIMET-02')",0.6097315737963284
"('WATER', 'DIETH-02')",2.8664533378618167
"('WATER', 'DIBUT-01')",4.510559491107853
"('WATER', 'N-BUT-02')",2.728287156087034
"('WATER', 'TRIPH-01')",5.732276098243233
"('WATER', 'DIETH-03')",2.905304641329296
"('WATER', '1-PEN-01')",1.610269573137596
"('WATER', 'TRIET-01')",3.1916328498391198
"('WATER', 'PROPY-01')",4.75290458623467
"('WATER', 'N:N-D-02')",1.19957561800835
"('WATER', 'ETHYL-04')",0.16182860270721905
"('WATER', 'PROPI-01')",0.6734691986225149
"('WATER', 'N-OCT-03')",8.602012559411868
"('WATER', '4-FOR-01')",15.940595536160473
"('WATER', 'N-TET-01')",8.861683607312452
"('WATER', 'METHY-04')",5.113306685246471
"('WATER', 'METHY-05')",3.5860317397305845
"('WATER', 'N-EIC-01')",9.278003444222977
"('WATER', 'N-MET-02')",0.7763112975511726
"('WATER', 'PYRID-02')",2.026532158836581
"('WATER', 'DIISO-01')",2.8377405264223396
"('WATER', '1-TRA-01')",5.171352696929037
"('WATER', 'METHY-06')",1.9753428058569562
"('WATER', 'ANILI-01')",3.244833032030472
"('WATER', '1-PEN-02')",5.45598456773939
"('WATER', 'NITRO-02')",5.130362478331907
"('WATER', 'TERT--01')",0.4278741198475742
"('WATER', 'TETRA-02')",2.5218237592798904
"('WATER', 'TRIET-02')",1.7788303610582004
"('WATER', '2-BUT-01')",0.5991248497861739
"('WATER', 'N-MET-03')",0.3574182760567734
"('WATER', 'PHENO-01')",2.6771790822310204
"('WATER', 'ISOBU-01')",0.8143131769011707
"('WATER', 'METHY-07')",2.096799312035802
"('WATER', 'ETHYL-05')",5.073782593998243
"('WATER', 'ETHYL-06')",4.429850181441886
"('WATER', 'METHY-08')",2.1399123361336048
"('WATER', 'PROPY-02')",2.1110597762091365
"('WATER', 'METHY-09')",6.205530955019063
"('WATER', 'N-BUT-03')",6.878420205625933
"('WATER', '1-HEX-02')",6.212950605808869
"('WATER', '2-PYR-01')",1.7303737684122793
"('WATER', 'N-TRI-01')",9.165430548948244
"('WATER', 'QUINO-01')",2.8351894197122482
"('WATER', 'DIETH-04')",2.933732208502206
"('WATER', 'TRI-N-01')",3.8897597021161174
"('WATER', 'CYCLO-04')",4.4843098075742684
"('WATER', '3-MET-01')",6.200097520234848
"('WATER', 'TRICH-01')",6.370973816163008
"('WATER', 'CYCLO-05')",1.7030112475280887
"('WATER', 'N-HEX-03')",3.570991033894514
"('WATER', 'TRI-O-01')",8.022534225028211
"('WATER', '1-OCT-03')",3.4843152786133347
"('WATER', 'N-HEX-04')",9.087017349946914
"('WATER', 'METHY-10')",3.5600737732853793
"('WATER', 'BROMO-01')",4.515549789965997
"('WATER', 'FURFU-01')",2.7405707814778477
"('WATER', 'CARBO-02')",7.477772490523211
"('WATER', 'TRANS-01')",
"('WATER', 'DIETH-05')",2.9218529139766543
"('WATER', '2-MET-05')",1.0546971418912265
"('WATER', 'N-DOD-01')",8.422510855674101
"('WATER', 'N-PEN-02')",3.375997362659535
"('WATER', 'TERT--02')",5.273411153990432
"('WATER', 'PIMEL-01')",1.7755370916920463
"('WATER', 'STYRE-01')",4.601031648506729
"('WATER', '2:2-D-01')",6.605127305690239
"('WATER', 'BUTYR-01')",1.4154850044578031
"('WATER', 'CYCLO-06')",
"('WATER', '1:6-H-01')",1.8096443767136607
"('WATER', 'GLYCE-01')",3.5301177490584825
"('WATER', 'BENZO-01')",13.796159323963444
"('WATER', 'NITRO-03')",1.6503279063053549
"('WATER', 'LACTI-01')",0.5851465524504648
"('WATER', 'PHENA-01')",6.739305274004291
"('WATER', '2:3-D-01')",6.303077230928275
"('WATER', '2-MET-06')",6.041671967822889
"('WATER', 'DIBUT-02')",3.475957299716025
"('WATER', 'DODEC-01')",3.061028124002076
"('WATER', 'GAMMA-01')",2.40441727024629
"('WATER', '1:2:2-01')",22.856329554184754
"('WATER', '1-MET-01')",6.574703724981762
"('WATER', 'FLUOR-01')",3.805527537247408
"('WATER', 'CYCLO-07')",5.136720214279081
"('WATER', '1:2-D-02')",0.9175374359950084
"('WATER', 'CIS-1-01')",
"('WATER', 'N-DOT-01')",
"('WATER', 'FURAN')",37.10486835557011
"('WATER', 'BUTYL-01')",4.820857516431421
"('WATER', 'ACETA-02')",1.8068475444321659
"('WATER', '1-CHL-02')",4.749352019945623
"('WATER', 'N-PRO-02')",5.492608982650415
"('WATER', '3-MET-03')",
"('WATER', 'METHY-11')",2.4098854320860648
"('WATER', '1-NIT-01')",2.4355313502103586
"('WATER', 'ETHYL-07')",4.834725542088127
"('WATER', 'ISOBU-02')",6.77043435404501
"('WATER', '2:3-D-02')",
"('WATER', 'N-DOC-01')",8.370011216134504
"('WATER', '1-HEX-03')",2.4642844921492784
"('WATER', '1:3-B-01')",6.943683695662606
"('WATER', 'BIS-C-01')",4.235370288167476
"('WATER', 'CAPRO-01')",2.5663357781872356
"('WATER', 'CYCLO-08')",2.2651482484992536
"('WATER', 'CYCLO-09')",5.916835131656637
"('WATER', '1-BUT-01')",6.591829019810472
"('WATER', 'GLUTA-01')",2.6879686452110536
"('WATER', 'DIISO-02')",8.666365213067044
"('WATER', 'PROPA-01')",6.79992495763523
"('WATER', '1-TET-01')",7.735753807983089
"('WATER', '1-EIC-01')",6.269412473447199
"('WATER', 'BENZY-01')",5.07692587014189
"('WATER', 'TRANS-02')",6.409867652756815
"('WATER', 'N-BUT-04')",1.6398634336472973
"('WATER', 'ISOPR-02')",5.332448749635681
"('WATER', 'ISOQU-01')",
"('WATER', 'GLYCE-02')",2.885975355579604
"('WATER', 'ISOBU-03')",7.05332046086761
"('WATER', '1-DEC-01')",6.995493872700415
"('WATER', 'DIOCT-01')",6.767123241406376
"('WATER', 'ADIPO-01')",3.1390891021779415
"('WATER', '2-MET-07')",0.6102097167889434
"('WATER', '1-OCT-04')",8.2875570063969
