,MAPE
"('WATER', 'N-HEX-01')",3.983743687785584
"('WATER', 'BENZE-01')",2.4748570768100846
"('WATER', 'N-HEP-01')",3.857961990799387
"('WATER', 'CYCLO-01')",3.3616215887897365
"('WATER', 'N-OCT-01')",4.15885368297503
"('WATER', 'TOLUE-01')",2.6313191828531988
"('WATER', 'METHY-02')",3.4713641958324812
"('WATER', '1-HEX-01')",3.7643014045781307
"('WATER', 'ETHYL-01')",3.801363447084183
"('WATER', 'N-PEN-01')",4.474347468948784
"('WATER', '1-HEP-01')",3.615641105626816
"('WATER', 'ETHAN-01')",0.6385764148115659
"('WATER', 'METHA-01')",0.36662969470024204
"('WATER', '1-OCT-01')",3.8470537707834227
"('WATER', 'N-NON-01')",4.664058014187353
"('WATER', 'CYCLO-02')",2.9948719649087985
"('WATER', 'METHY-01')",1.184440299664389
"('WATER', 'ACETO-01')",1.0826609447871047
"('WATER', 'ETHYL-02')",1.283866610393335
"('WATER', 'N-HEX-02')",6.33155078685278
"('WATER', 'SQUAL-01')",7.864435982573335
"('WATER', 'CHLOR-01')",2.492726135671111
"('WATER', 'N-BUT-01')",1.353750670885456
"('WATER', 'CARBO-01')",3.0332122908528465
"('WATER', 'ETHYL-03')",3.1521982984238957
"('WATER', '1-PRO-01')",0.8782818672865369
"('WATER', 'ACETO-02')",0.8847721384484838
"('WATER', 'P-XYL-01')",3.0954601149806886
"('WATER', 'M-XYL-01')",3.089154161065668
"('WATER', 'ISOPR-01')",0.7525826115790419
"('WATER', '2-MET-01')",3.9671800750291677
"('WATER', '2-MET-02')",4.141095637684755
"('WATER', '2:2:4-01')",4.060754855779101
"('WATER', '2-MET-03')",4.116985641246198
"('WATER', 'O-XYL-01')",3.1570361648628475
"('WATER', 'DICHL-01')",2.5237207581574936
"('WATER', '1:2-D-01')",2.096257828403592
"('WATER', '2:4-D-01')",4.022883811626753
"('WATER', '1-OCT-02')",3.6459058437595866
"('WATER', '2-MET-04')",4.7178734904651485
"('WATER', 'SULFO-01')",4.316551248438394
