,MAPE
"('WATER', 'N-HEX-01')",12.494657372876693
"('WATER', 'BENZE-01')",6.819626540644666
"('WATER', 'N-HEP-01')",12.695150269278507
"('WATER', 'CYCLO-01')",11.51721866805508
"('WATER', 'N-OCT-01')",13.264486836372747
"('WATER', 'TOLUE-01')",7.475063545730949
"('WATER', 'METHY-02')",11.798976503505635
"('WATER', '1-HEX-01')",10.951489895774573
"('WATER', 'ETHYL-01')",12.232613701339448
"('WATER', 'N-PEN-01')",12.626282809622131
"('WATER', '1-HEP-01')",11.464390248539988
"('WATER', 'ETHAN-01')",0.3448218782012546
"('WATER', 'METHA-01')",0.3002099265350369
"('WATER', '1-OCT-01')",11.87204634592433
"('WATER', 'N-NON-01')",13.856843266500354
"('WATER', 'CYCLO-02')",9.987576713202746
"('WATER', 'METHY-01')",1.181053907982042
"('WATER', 'ACETO-01')",0.8507608595967062
"('WATER', 'ETHYL-02')",1.8024752711138463
"('WATER', 'N-HEX-02')",14.342558969576727
"('WATER', 'SQUAL-01')",13.796583001721821
"('WATER', 'CHLOR-01')",6.2824994294301755
"('WATER', 'N-BUT-01')",0.48739147060818216
"('WATER', 'CARBO-01')",9.830544036656155
"('WATER', 'ETHYL-03')",8.39270057583202
"('WATER', '1-PRO-01')",0.1600661059695589
"('WATER', 'ACETO-02')",0.5088877084570241
"('WATER', 'P-XYL-01')",8.111527711241564
"('WATER', 'M-XYL-01')",8.165783680554345
"('WATER', 'ISOPR-01')",0.32670592183895325
"('WATER', '2-MET-01')",8.68840650906601
"('WATER', '2-MET-02')",12.896504429023345
"('WATER', '2:2:4-01')",13.15495412278787
"('WATER', '2-MET-03')",10.008706951372343
"('WATER', 'O-XYL-01')",8.365232814342702
"('WATER', 'DICHL-01')",5.413153799620613
"('WATER', '1:2-D-01')",5.0778018022916624
"('WATER', '2:4-D-01')",12.755240899327855
"('WATER', '1-OCT-02')",2.678889159486266
"('WATER', '2-MET-04')",13.007079939081724
"('WATER', 'SULFO-01')",3.099020712301485
"('WATER', 'N-MET-01')",0.48648753280566515
"('WATER', 'CYCLO-03')",11.168171114657197
"('WATER', '2:3:4-01')",12.300811738104768
"('WATER', 'TETRA-01')",0.9778770207095283
"('WATER', 'NITRO-01')",1.104062312303647
"('WATER', '1:4-D-01')",0.6605012720801419
"('WATER', 'N-PRO-01')",2.6580218398774336
"('WATER', 'N-DEC-01')",13.905793483495374
"('WATER', 'N:N-D-01')",0.07683851414089557
"('WATER', 'CHLOR-02')",7.963866370472242
"('WATER', 'N-OCT-02')",11.293548171903504
"('WATER', '2:5-D-01')",12.461240290784135
"('WATER', 'METHY-03')",1.4708026314007798
"('WATER', '1-CHL-01')",7.447461857310491
"('WATER', 'DI-N--01')",6.668780768980865
"('WATER', 'DIMET-02')",2.7361427384493897
"('WATER', 'DIETH-02')",2.5814500754365928
"('WATER', 'DIBUT-01')",7.409067211576871
"('WATER', 'N-BUT-02')",3.9696711876640425
"('WATER', 'TRIPH-01')",6.720210838451959
"('WATER', 'DIETH-03')",3.132374746143988
"('WATER', '1-PEN-01')",1.174995542822136
"('WATER', 'TRIET-01')",3.279106410788292
"('WATER', 'PROPY-01')",6.489569629921905
"('WATER', 'N:N-D-02')",0.8603792568474643
"('WATER', 'ETHYL-04')",0.7066564314040059
"('WATER', 'PROPI-01')",0.7780542329684469
"('WATER', 'N-OCT-03')",11.943716728842341
"('WATER', '4-FOR-01')",16.822240022208522
"('WATER', 'N-TET-01')",12.125701993981876
"('WATER', 'METHY-04')",12.174797389271559
"('WATER', 'METHY-05')",5.5516401679359815
"('WATER', 'N-EIC-01')",13.90825004780431
"('WATER', 'N-MET-02')",0.5613252495426818
"('WATER', 'PYRID-02')",1.9009664870210707
"('WATER', 'DIISO-01')",2.4430350562788
"('WATER', '1-TRA-01')",8.956763357413188
"('WATER', 'METHY-06')",2.741552751392064
"('WATER', 'ANILI-01')",3.3718275142479435
"('WATER', '1-PEN-02')",7.375733949323409
"('WATER', 'NITRO-02')",6.796229860896608
"('WATER', 'TERT--01')",0.3008439259578682
"('WATER', 'TETRA-02')",2.709994245148028
"('WATER', 'TRIET-02')",2.2850249510098246
"('WATER', '2-BUT-01')",0.4944709315599311
"('WATER', 'N-MET-03')",0.5011533780569568
"('WATER', 'PHENO-01')",1.8560786561684912
"('WATER', 'ISOBU-01')",0.2358383463989653
"('WATER', 'METHY-07')",2.817112843820734
"('WATER', 'ETHYL-05')",7.847884120995352
"('WATER', 'ETHYL-06')",6.395513775008172
"('WATER', 'METHY-08')",2.221685001640747
"('WATER', 'PROPY-02')",2.807544370468223
"('WATER', 'METHY-09')",14.17856467456775
"('WATER', 'N-BUT-03')",13.682671565028151
"('WATER', '1-HEX-02')",4.613684944891841
"('WATER', '2-PYR-01')",1.600202520402004
"('WATER', 'N-TRI-01')",15.29181194432174
"('WATER', 'QUINO-01')",4.301703314288038
"('WATER', 'DIETH-04')",3.5198137406766734
"('WATER', 'TRI-N-01')",3.8366283689900857
"('WATER', 'CYCLO-04')",8.719911022343465
"('WATER', '3-MET-01')",12.829296646806295
"('WATER', 'TRICH-01')",10.107236569155404
"('WATER', 'CYCLO-05')",2.041111803314543
"('WATER', 'N-HEX-03')",4.409895632030473
"('WATER', 'TRI-O-01')",4.45023415767078
"('WATER', '1-OCT-03')",4.101235672003285
"('WATER', 'N-HEX-04')",12.807921471755671
"('WATER', 'METHY-10')",4.830950289520121
"('WATER', 'BROMO-01')",8.147957900672239
"('WATER', 'FURFU-01')",2.605303389936651
"('WATER', 'CARBO-02')",12.247233494476383
"('WATER', 'TRANS-01')",
"('WATER', 'DIETH-05')",3.6892045951223307
"('WATER', '2-MET-05')",1.5632808248297687
"('WATER', 'N-DOD-01')",14.733738949899012
"('WATER', 'N-PEN-02')",3.698207694544601
"('WATER', 'TERT--02')",7.644471822921083
"('WATER', 'PIMEL-01')",3.9456752180707606
"('WATER', 'STYRE-01')",11.617153145493313
"('WATER', '2:2-D-01')",13.043767098315426
"('WATER', 'BUTYR-01')",1.7701338952359702
"('WATER', 'CYCLO-06')",
"('WATER', '1:6-H-01')",1.6264291459001938
"('WATER', 'GLYCE-01')",2.1478375933418876
"('WATER', 'BENZO-01')",14.096940588485507
"('WATER', 'NITRO-03')",1.8818706310176565
"('WATER', 'LACTI-01')",1.2039210692611573
"('WATER', 'PHENA-01')",8.357648172589757
"('WATER', '2:3-D-01')",12.84076381191339
"('WATER', '2-MET-06')",9.901265518892847
"('WATER', 'DIBUT-02')",3.44056962309282
"('WATER', 'DODEC-01')",7.475638273191358
"('WATER', 'GAMMA-01')",2.498584968618869
"('WATER', '1:2:2-01')",26.970537390505644
"('WATER', '1-MET-01')",10.210255329314107
"('WATER', 'FLUOR-01')",6.157831004385802
"('WATER', 'CYCLO-07')",11.26441328914815
"('WATER', '1:2-D-02')",0.9605533248947332
"('WATER', 'CIS-1-01')",
"('WATER', 'N-DOT-01')",
"('WATER', 'FURAN')",38.115182470006
"('WATER', 'BUTYL-01')",6.973812453855137
"('WATER', 'ACETA-02')",2.511760423076905
"('WATER', '1-CHL-02')",8.608754825467164
"('WATER', 'N-PRO-02')",10.265466651567142
"('WATER', '3-MET-03')",
"('WATER', 'METHY-11')",1.8674923220938804
"('WATER', '1-NIT-01')",2.4100804403303147
"('WATER', 'ETHYL-07')",6.261763733670053
"('WATER', 'ISOBU-02')",11.248304338894462
"('WATER', '2:3-D-02')",
"('WATER', 'N-DOC-01')",10.877862260504564
"('WATER', '1-HEX-03')",1.8750237066900977
"('WATER', '1:3-B-01')",9.955097703669633
"('WATER', 'BIS-C-01')",3.006328451868743
"('WATER', 'CAPRO-01')",3.1333255024831455
"('WATER', 'CYCLO-08')",1.7602741976823049
"('WATER', 'CYCLO-09')",11.746733476356235
"('WATER', '1-BUT-01')",10.516021874441698
