,MAPE
"('WATER', 'N-HEX-01')",11.981951842180234
"('WATER', 'BENZE-01')",6.300320321059169
"('WATER', 'N-HEP-01')",11.893647437697787
"('WATER', 'CYCLO-01')",11.066676335325223
"('WATER', 'N-OCT-01')",12.228983688905995
"('WATER', 'TOLUE-01')",6.636207572828027
"('WATER', 'METHY-02')",11.206221482995266
"('WATER', '1-HEX-01')",10.546039984062956
"('WATER', 'ETHYL-01')",11.506091958444607
"('WATER', 'N-PEN-01')",12.438565854500926
"('WATER', '1-HEP-01')",10.574409914803805
"('WATER', 'ETHAN-01')",0.4297604477422519
"('WATER', 'METHA-01')",0.3774338346761363
"('WATER', '1-OCT-01')",10.761164555133682
"('WATER', 'N-NON-01')",12.691181266465234
"('WATER', 'CYCLO-02')",8.780396021614338
"('WATER', 'METHY-01')",1.1564255044460663
"('WATER', 'ACETO-01')",0.7136408056951815
"('WATER', 'ETHYL-02')",2.0768416255573965
"('WATER', 'N-HEX-02')",12.727693849852775
"('WATER', 'SQUAL-01')",11.56919703687451
"('WATER', 'CHLOR-01')",6.303127777032714
"('WATER', 'N-BUT-01')",0.3053046294521506
"('WATER', 'CARBO-01')",9.200999411250226
"('WATER', 'ETHYL-03')",7.328363406288547
"('WATER', '1-PRO-01')",0.2851871244285211
"('WATER', 'ACETO-02')",0.6148659394993672
"('WATER', 'P-XYL-01')",7.133634381203128
"('WATER', 'M-XYL-01')",7.280717504554565
"('WATER', 'ISOPR-01')",0.4309939349135353
"('WATER', '2-MET-01')",8.776001043922626
"('WATER', '2-MET-02')",12.566041875279263
"('WATER', '2:2:4-01')",12.200840544136524
"('WATER', '2-MET-03')",9.711616926876191
"('WATER', 'O-XYL-01')",7.336664685102541
"('WATER', 'DICHL-01')",5.5546633742437805
"('WATER', '1:2-D-01')",5.073088324586682
"('WATER', '2:4-D-01')",12.460351227930541
"('WATER', '1-OCT-02')",3.157903442715093
"('WATER', '2-MET-04')",12.710461355463673
"('WATER', 'SULFO-01')",0.6813091057586109
"('WATER', 'N-MET-01')",0.3838211397568937
"('WATER', 'CYCLO-03')",10.797365795716235
"('WATER', '2:3:4-01')",11.697982612731693
"('WATER', 'TETRA-01')",1.0019275339530762
"('WATER', 'NITRO-01')",0.39590542635677894
"('WATER', '1:4-D-01')",0.23441182768419289
"('WATER', 'N-PRO-01')",2.713603022345958
"('WATER', 'N-DEC-01')",13.020773305804886
"('WATER', 'N:N-D-01')",0.302394969888532
"('WATER', 'CHLOR-02')",6.898528085392323
"('WATER', 'N-OCT-02')",12.187196341482368
"('WATER', '2:5-D-01')",12.040548708079552
"('WATER', 'METHY-03')",1.7330174229901512
"('WATER', '1-CHL-01')",7.075984435124527
"('WATER', 'DI-N--01')",1.6964115234856094
"('WATER', 'DIMET-02')",3.233938521204894
"('WATER', 'DIETH-02')",3.5920225976399656
"('WATER', 'DIBUT-01')",3.7070639133962953
"('WATER', 'N-BUT-02')",3.577071089392013
"('WATER', 'TRIPH-01')",4.541717595367841
"('WATER', 'DIETH-03')",2.4959713450361765
"('WATER', '1-PEN-01')",1.0292442372838178
"('WATER', 'TRIET-01')",2.9039547766038223
"('WATER', 'PROPY-01')",8.056467427116173
"('WATER', 'N:N-D-02')",0.5081523878067126
"('WATER', 'ETHYL-04')",0.1898165095480179
"('WATER', 'PROPI-01')",0.5590179453402458
"('WATER', 'N-OCT-03')",10.867433718544179
"('WATER', '4-FOR-01')",16.826903866752073
"('WATER', 'N-TET-01')",11.612080621908365
"('WATER', 'METHY-04')",11.273652824026097
"('WATER', 'METHY-05')",4.341623710307006
"('WATER', 'N-EIC-01')",12.249482983670825
"('WATER', 'N-MET-02')",0.27866452998798463
"('WATER', 'PYRID-02')",1.902984143791378
"('WATER', 'DIISO-01')",4.006273196081519
"('WATER', '1-TRA-01')",7.792297638771839
"('WATER', 'METHY-06')",1.6369504673148114
"('WATER', 'ANILI-01')",2.3850713152123153
"('WATER', '1-PEN-02')",8.515610033384318
"('WATER', 'NITRO-02')",5.0705269684997765
"('WATER', 'TERT--01')",0.45874137505393053
"('WATER', 'TETRA-02')",3.5604735249828314
"('WATER', 'TRIET-02')",0.6052396994262147
"('WATER', '2-BUT-01')",0.26151294826463267
"('WATER', 'N-MET-03')",0.6891619427531923
"('WATER', 'PHENO-01')",0.9667681882205426
"('WATER', 'ISOBU-01')",0.26945523617091877
"('WATER', 'METHY-07')",2.21625177788961
"('WATER', 'ETHYL-05')",9.303265527783623
"('WATER', 'ETHYL-06')",6.850232320548385
"('WATER', 'METHY-08')",2.8372507417954473
"('WATER', 'PROPY-02')",2.3447601670443072
"('WATER', 'METHY-09')",13.106249445953408
"('WATER', 'N-BUT-03')",13.434329041742732
"('WATER', '1-HEX-02')",5.156069066767013
"('WATER', '2-PYR-01')",1.3772348425303025
"('WATER', 'N-TRI-01')",11.309727733983742
"('WATER', 'QUINO-01')",3.9176287235841385
"('WATER', 'DIETH-04')",2.5642636017384026
"('WATER', 'TRI-N-01')",4.063001081072392
"('WATER', 'CYCLO-04')",8.175223226004604
"('WATER', '3-MET-01')",12.767694991184134
"('WATER', 'TRICH-01')",9.54508091568788
"('WATER', 'CYCLO-05')",1.4666366934337476
"('WATER', 'N-HEX-03')",5.160672533754282
"('WATER', 'TRI-O-01')",6.694135063628474
"('WATER', '1-OCT-03')",3.1139936488665323
"('WATER', 'N-HEX-04')",13.61457653771484
"('WATER', 'METHY-10')",3.449987424643363
"('WATER', 'BROMO-01')",7.164498588681763
"('WATER', 'FURFU-01')",2.2288296880764795
"('WATER', 'CARBO-02')",12.3600935073861
"('WATER', 'TRANS-01')",
"('WATER', 'DIETH-05')",2.4646057932221543
"('WATER', '2-MET-05')",1.3284392693107878
"('WATER', 'N-DOD-01')",14.153332642596128
"('WATER', 'N-PEN-02')",4.542560719704016
"('WATER', 'TERT--02')",8.922738975821842
"('WATER', 'PIMEL-01')",2.766249321084051
"('WATER', 'STYRE-01')",9.476065906226134
"('WATER', '2:2-D-01')",12.732210333786535
"('WATER', 'BUTYR-01')",1.3244015709541836
"('WATER', 'CYCLO-06')",
"('WATER', '1:6-H-01')",1.4163782492957726
"('WATER', 'GLYCE-01')",2.171818318728922
